City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,severo-yeniseyskiy,60.3725,93.0408,19.24,61,40,0.41,RU,1723171046
313,namibe,-15.1961,12.1522,16.01,90,8,2.44,AO,1723170830
314,turmalina,-17.2856,-42.73,15.91,80,7,0.4,BR,1723171320
315,shahr-e babak,30.1165,55.1186,26.42,42,0,3.86,IR,1723171322
316,benguela,-12.5763,13.4055,19.12,91,2,1.12,AO,1723170804
317,cadale,2.7603,46.3222,24.3,84,74,7.5,SO,1723171324
318,porto murtinho,-21.6989,-57.8825,17.3,37,100,3.51,BR,1723171325
319,akrehamn,59.2667,5.1833,14.14,94,75,7.2,NO,1723171326
320,itaituba,-4.2761,-55.9836,23.9,47,0,0.17,BR,1723171327
321,sinabang,2.4803,96.3801,26.7,85,94,2.96,ID,1723171328
322,bariadi,-2.8,33.9833,19.23,62,12,2.78,TZ,1723171329
323,goundam,16.4145,-3.6708,28.46,67,100,5.96,ML,1723171331
324,marshfield,44.6689,-90.1718,14.97,72,40,3.09,US,1723171332
325,porus,18.0354,-77.4117,24.71,98,100,0.22,JM,1723171333
326,morgan hill,37.1305,-121.6544,24.84,47,0,2.57,US,1723171334
327,summerside,46.3959,-63.7876,19.07,72,99,4.12,CA,1723171335
328,al bawiti,28.3492,28.8659,26.73,43,0,3.0,EG,1723171336
329,suixi,33.8907,116.7747,31.83,71,100,3.62,CN,1723171337
330,northam,51.0333,-4.2167,15.34,97,99,7.89,GB,1723171338
331,port alfred,-33.5906,26.891,18.08,40,0,11.07,ZA,1723171340
332,la romana,18.4273,-68.9728,26.2,89,20,5.14,DO,1723171341
333,kundiawa,-6.0167,144.9667,21.19,86,66,1.48,PG,1723171342
334,taroa,8.7058,171.2275,28.52,73,8,4.24,MH,1723171343
335,new norfolk,-42.7826,147.0587,13.78,48,85,2.18,AU,1723171344
336,freetown,8.484,-13.2299,24.46,90,100,3.39,SL,1723171063
337,nishinoomote,30.7333,131.0,32.31,74,75,3.6,JP,1723171346
338,kharp,66.8014,65.8081,12.33,66,2,1.36,RU,1723171347
339,kruisfontein,-34.0033,24.7314,16.02,43,5,9.58,ZA,1723171348
340,polovinnoye,54.7914,65.9864,12.44,73,71,6.27,RU,1723171350
341,lompoc,34.6391,-120.4579,15.29,91,75,4.63,US,1723170811
342,boali,4.8005,18.1275,21.29,95,100,1.16,CF,1723171352
343,georgiyevka,43.0369,74.7114,26.02,38,0,4.0,KZ,1723171353
344,tibanbang,6.6315,126.1055,28.63,72,93,1.93,PH,1723171354
345,novaya mayna,54.15,49.75,18.91,74,100,1.6,RU,1723171355
346,hinton,53.4001,-117.5857,17.25,62,3,3.82,CA,1723171356
347,conceicao do araguaia,-8.2578,-49.2647,22.59,34,0,1.0,BR,1723171357
348,laguna,38.421,-121.4238,31.1,37,0,4.12,US,1723171359
349,ben mehidi,36.7697,7.9064,22.99,83,0,0.0,DZ,1723171360
350,uray,60.1247,64.7758,12.66,64,0,2.07,RU,1723171361
351,livadeia,38.435,22.8739,20.52,72,0,1.7,GR,1723171362
352,at taj,24.2049,23.2857,30.24,20,73,4.24,LY,1723171363
353,sitka,57.0531,-135.33,17.94,82,20,0.0,US,1723170813
354,cabo san lucas,22.8909,-109.9124,31.17,58,0,9.26,MX,1723171114
355,klyuchi,52.2667,79.1667,21.17,74,100,2.59,RU,1723171366
356,yerofey pavlovich,53.9667,121.9667,19.34,78,100,0.77,RU,1723171368
357,prado,-17.3411,-39.2208,21.8,76,0,3.83,BR,1723171369
358,son la,21.3167,103.9,29.1,60,49,1.28,VN,1723171370
359,jarwal,27.1667,81.55,29.32,78,83,5.45,IN,1723171371
360,porbandar,21.6422,69.6093,28.2,80,100,6.94,IN,1723171213
361,trancas,-26.2314,-65.2803,5.57,47,68,0.99,AR,1723171373
362,bodo,67.28,14.405,15.02,93,75,10.8,NO,1723171374
363,cold lake,54.4502,-110.2017,19.97,42,20,1.03,CA,1723171375
